username,created_at,followers_count
APoD,2018-01-12T00:00:00.000Z,59367
selfcare,2017-11-20T00:00:00.000Z,16940
RikerGoogling,2022-11-08T00:00:00.000Z,12187
PleaseCaption,2018-09-05T00:00:00.000Z,9063
gretathunberg,2019-02-27T00:00:00.000Z,8504
picardtips,2020-09-14T00:00:00.000Z,7342
catsnkittens,2020-08-17T00:00:00.000Z,6276
randomColorContrasts,2020-08-11T00:00:00.000Z,6097
hourlyfoxbot,2019-01-05T00:00:00.000Z,5785
biodiversitypix,2020-02-29T00:00:00.000Z,4625
sadserver,2022-11-14T00:00:00.000Z,3660
nasa_bot,2021-01-08T00:00:00.000Z,3453
bunposting,2018-12-09T00:00:00.000Z,2977
duckduckgo,2018-04-11T00:00:00.000Z,2584
oldroadside,2020-07-20T00:00:00.000Z,2571
blendernation,2018-03-29T00:00:00.000Z,2465
genderoftheday,2018-09-03T00:00:00.000Z,2437
artbot,2018-06-14T00:00:00.000Z,2434
pomological,2017-04-05T00:00:00.000Z,2267
xkcdbot,2019-08-19T00:00:00.000Z,2236
